date,region,category,product_name,text,label
10-09-2025,FR,sofa,EliteRelax Sofa,I excellent the EliteRelax Sofa. Great for my sofa needs.,positive
04-10-2025,SG,sofa,EliteRelax Sofa,I excellent the EliteRelax Sofa. Great for my sofa needs.,positive
24-08-2025,DE,sofa,EliteRelax Sofa,I best purchase the EliteRelax Sofa. Great for my sofa needs.,positive
11-10-2025,IN,sofa,EliteRelax Sofa,I excellent the EliteRelax Sofa. Great for my sofa needs.,positive
06-08-2025,AE,sofa,EliteRelax Sofa,EliteRelax Sofa - dimensions.,neutral
27-08-2025,FR,sofa,EliteRelax Sofa,EliteRelax Sofa - received.,neutral
14-08-2025,CA,sofa,EliteRelax Sofa,I perfect the EliteRelax Sofa. Great for my sofa needs.,positive
29-09-2025,CA,sofa,EliteRelax Sofa,This EliteRelax Sofa is cheap. Very unhappy.,negative
05-08-2025,FR,sofa,EliteRelax Sofa,I well-made the EliteRelax Sofa. Great for my sofa needs.,positive
11-09-2025,DE,sofa,BudgetBuild Sofa,I comfortable the BudgetBuild Sofa. Great for my sofa needs.,positive
01-09-2025,DE,sofa,BudgetBuild Sofa,This BudgetBuild Sofa is cheap. Very unhappy.,negative
04-10-2025,DE,sofa,BudgetBuild Sofa,I happy with the BudgetBuild Sofa. Great for my sofa needs.,positive
22-09-2025,ZA,sofa,BudgetBuild Sofa,I great the BudgetBuild Sofa. Great for my sofa needs.,positive
09-08-2025,US,sofa,BudgetBuild Sofa,I happy with the BudgetBuild Sofa. Great for my sofa needs.,positive
17-09-2025,ZA,sofa,BudgetBuild Sofa,I perfect the BudgetBuild Sofa. Great for my sofa needs.,positive
10-10-2025,GB,sofa,BudgetBuild Sofa,This BudgetBuild Sofa is poor quality. Very unhappy.,negative
03-08-2025,SG,sofa,BudgetBuild Sofa,I comfortable the BudgetBuild Sofa. Great for my sofa needs.,positive
03-08-2025,FR,sofa,BudgetBuild Sofa,I happy with the BudgetBuild Sofa. Great for my sofa needs.,positive
08-10-2025,DE,sofa,BudgetBuild Sofa,I great the BudgetBuild Sofa. Great for my sofa needs.,positive
26-09-2025,SG,sofa,ModernSit Sofa,I high quality the ModernSit Sofa. Great for my sofa needs.,positive
06-09-2025,SG,sofa,ModernSit Sofa,I well-made the ModernSit Sofa. Great for my sofa needs.,positive
17-08-2025,FR,sofa,ModernSit Sofa,ModernSit Sofa - price.,neutral
04-08-2025,GB,sofa,ModernSit Sofa,I well-made the ModernSit Sofa. Great for my sofa needs.,positive
09-09-2025,AU,sofa,ModernSit Sofa,I great the ModernSit Sofa. Great for my sofa needs.,positive
31-08-2025,DE,sofa,ModernSit Sofa,I comfortable the ModernSit Sofa. Great for my sofa needs.,positive
02-09-2025,SG,sofa,ModernSit Sofa,This ModernSit Sofa is disappointing. Very unhappy.,negative
22-08-2025,SG,sofa,ModernSit Sofa,I well-made the ModernSit Sofa. Great for my sofa needs.,positive
15-08-2025,AE,sofa,ModernSit Sofa,I comfortable the ModernSit Sofa. Great for my sofa needs.,positive
13-10-2025,AU,sofa,ModernSit Sofa,I comfortable the ModernSit Sofa. Great for my sofa needs.,positive
06-10-2025,FR,sofa,Prestige Sofa,I perfect the Prestige Sofa. Great for my sofa needs.,positive
29-09-2025,IN,sofa,Prestige Sofa,Prestige Sofa - delivery update.,neutral
06-08-2025,US,sofa,Prestige Sofa,I well-made the Prestige Sofa. Great for my sofa needs.,positive
24-08-2025,FR,sofa,Prestige Sofa,I best purchase the Prestige Sofa. Great for my sofa needs.,positive
19-08-2025,SG,sofa,Prestige Sofa,I happy with the Prestige Sofa. Great for my sofa needs.,positive
11-10-2025,GB,sofa,Prestige Sofa,I high quality the Prestige Sofa. Great for my sofa needs.,positive
31-07-2025,US,sofa,Prestige Sofa,This Prestige Sofa is worst. Very unhappy.,negative
14-10-2025,AE,sofa,Prestige Sofa,I perfect the Prestige Sofa. Great for my sofa needs.,positive
01-09-2025,US,sofa,Prestige Sofa,I great the Prestige Sofa. Great for my sofa needs.,positive
27-08-2025,SG,sofa,Prestige Sofa,I perfect the Prestige Sofa. Great for my sofa needs.,positive
27-09-2025,AU,sofa,FamilyNest Sofa,I high quality the FamilyNest Sofa. Great for my sofa needs.,positive
19-10-2025,SG,sofa,FamilyNest Sofa,I best purchase the FamilyNest Sofa. Great for my sofa needs.,positive
04-10-2025,IN,sofa,FamilyNest Sofa,I perfect the FamilyNest Sofa. Great for my sofa needs.,positive
28-10-2025,US,sofa,FamilyNest Sofa,I high quality the FamilyNest Sofa. Great for my sofa needs.,positive
13-10-2025,FR,sofa,FamilyNest Sofa,I comfortable the FamilyNest Sofa. Great for my sofa needs.,positive
07-09-2025,US,sofa,FamilyNest Sofa,I comfortable the FamilyNest Sofa. Great for my sofa needs.,positive
13-10-2025,DE,sofa,FamilyNest Sofa,FamilyNest Sofa - available.,neutral
23-08-2025,GB,sofa,FamilyNest Sofa,I best purchase the FamilyNest Sofa. Great for my sofa needs.,positive
20-10-2025,GB,sofa,FamilyNest Sofa,I best purchase the FamilyNest Sofa. Great for my sofa needs.,positive
02-10-2025,AE,sofa,FamilyNest Sofa,I perfect the FamilyNest Sofa. Great for my sofa needs.,positive
18-08-2025,CA,sofa,CloudNine Sofa,This CloudNine Sofa is missing parts. Very unhappy.,negative
10-10-2025,AE,sofa,CloudNine Sofa,I stylish the CloudNine Sofa. Great for my sofa needs.,positive
17-08-2025,DE,sofa,CloudNine Sofa,I high quality the CloudNine Sofa. Great for my sofa needs.,positive
17-08-2025,US,sofa,CloudNine Sofa,I love the CloudNine Sofa. Great for my sofa needs.,positive
16-08-2025,CA,sofa,CloudNine Sofa,I well-made the CloudNine Sofa. Great for my sofa needs.,positive
20-10-2025,SG,sofa,CloudNine Sofa,I love the CloudNine Sofa. Great for my sofa needs.,positive
26-08-2025,US,sofa,CloudNine Sofa,I perfect the CloudNine Sofa. Great for my sofa needs.,positive
15-08-2025,CA,sofa,CloudNine Sofa,I high quality the CloudNine Sofa. Great for my sofa needs.,positive
18-08-2025,US,sofa,CloudNine Sofa,This CloudNine Sofa is not comfortable. Very unhappy.,negative
05-10-2025,US,sofa,CloudNine Sofa,This CloudNine Sofa is damaged. Very unhappy.,negative
28-09-2025,SG,sofa,RoyalLounger Sofa,I stylish the RoyalLounger Sofa. Great for my sofa needs.,positive
15-08-2025,FR,sofa,RoyalLounger Sofa,I great the RoyalLounger Sofa. Great for my sofa needs.,positive
24-08-2025,IN,sofa,RoyalLounger Sofa,I love the RoyalLounger Sofa. Great for my sofa needs.,positive
12-08-2025,US,sofa,RoyalLounger Sofa,RoyalLounger Sofa - inquiry.,neutral
03-08-2025,IN,sofa,RoyalLounger Sofa,I perfect the RoyalLounger Sofa. Great for my sofa needs.,positive
03-09-2025,AU,sofa,RoyalLounger Sofa,I high quality the RoyalLounger Sofa. Great for my sofa needs.,positive
01-09-2025,DE,sofa,RoyalLounger Sofa,RoyalLounger Sofa - color options.,neutral
26-10-2025,ZA,sofa,RoyalLounger Sofa,RoyalLounger Sofa - received.,neutral
19-10-2025,AE,sofa,RoyalLounger Sofa,I love the RoyalLounger Sofa. Great for my sofa needs.,positive
19-09-2025,AU,sofa,RoyalLounger Sofa,I great the RoyalLounger Sofa. Great for my sofa needs.,positive
